cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,ml_score,graph_adoption_score,actionability_score,hybrid_adoption_score,hybrid_actionability_score
2026,solvent-shell water/DES regulation,cellulose nanofiber scaffold,solvation_entropy,gel_microstructure,12,31,5,19,11,29,7,1.9041484310752632,372,2,0.004789384866025479,1,5,1,1,1,0.9233192067641128,1.5699397590361444,1.7499397590361445,0.9066265060240963,1.0866265060240965
2026,nanochannel-confined ion transport,interpenetrating-network thermogalvanic hydrogel,transport_mechanism,gel_microstructure,19,17,7,11,19,11,12,3.3309651114209187,323,2,0.005519813952600105,1,6,1,1,1,0.8983283211564259,1.607289156626506,1.7872891566265061,0.9042168674698795,1.0842168674698796
2026,ion-dipole interaction transport,double-network hydrogel mechanics,transport_mechanism,gel_microstructure,18,20,4,11,15,16,10,2.727465134820353,360,2,0.0,1,0,1,1,1,0.9065276952307709,1.5755421686746989,1.755542168674699,0.9018072289156627,1.0818072289156628
2026,solvent-shell water/DES regulation,charge-transfer resistance engineering,solvation_entropy,electrode_interface,12,31,5,31,11,14,6,1.648741599989322,372,2,0.0031241734466288694,1,5,1,1,1,0.9267364455466566,1.5368072289156627,1.7168072289156628,0.9,1.08
2026,ion-dipole interaction transport,organic redox molecular design,transport_mechanism,redox_chemistry,18,20,4,13,15,16,11,3.033340344772212,360,2,0.014238038374874628,1,0,1,1,1,0.8736808276535285,1.6321686746987951,1.8121686746987953,0.8993975903614457,1.0793975903614457
2026,redox-solvation hybrid entropy,iodide/triiodide redox chemistry,solvation_entropy,redox_chemistry,15,23,9,18,12,14,5,1.4050950087451288,345,2,0.04189488054215961,1,4,1,1,1,0.9175189219794018,1.5495180722891566,1.7295180722891568,0.8993975903614457,1.0793975903614457
2026,bidirectional cationic anchoring thermodiffusion,ferri/ferrocyanide redox chemistry,transport_mechanism,redox_chemistry,8,50,0,47,8,32,8,2.399776329141597,400,2,0.0,1,4,1,0,1,0.8964432043572026,1.5928313253012047,1.772831325301205,0.8975903614457832,1.0775903614457831
2026,bidirectional cationic anchoring thermodiffusion,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,8,47,0,41,8,31,7,1.982743937717351,376,2,0.031166922706696982,1,4,1,0,1,0.8700693924269145,1.6178313253012044,1.7978313253012046,0.891566265060241,1.0715662650602409
2026,salting-out confined ion gel,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,12,50,6,47,8,32,12,3.591853192575513,600,2,0.0,1,2,1,1,1,0.9601353890494011,1.6668072289156626,1.7668072289156627,0.9692771084337349,1.069277108433735
2026,ion-dipole interaction transport,carbon-electrode redox interface,transport_mechanism,electrode_interface,18,21,4,20,15,5,7,1.8651220014982641,378,2,0.09887798386098003,1,0,1,1,1,0.8414290271311475,1.639457831325301,1.8194578313253011,0.8879518072289156,1.0679518072289156
2026,thermoresponsive micellization p/n conversion,gel-confined redox transport,phase_or_species_transition,gel_microstructure,6,52,2,47,4,38,6,1.6716951913202478,312,2,0.018103883121389754,1,2,1,1,1,0.9044366972320337,1.538313253012048,1.7183132530120482,0.8879518072289156,1.0679518072289156
2026,double-network hydrogel mechanics,deep-eutectic eutogel electrolyte,gel_microstructure,material_system,20,26,11,15,16,22,12,3.2521627525778842,520,2,0.0327866517468631,1,3,1,1,1,0.9028128516033578,1.7175301204819278,1.8175301204819279,0.963855421686747,1.063855421686747
2026,thermoresponsive micellization p/n conversion,ferri/ferrocyanide redox chemistry,phase_or_species_transition,redox_chemistry,6,50,2,47,4,32,6,1.6716951913202478,300,2,0.0,1,2,1,1,1,0.9499227010372786,1.4808433734939759,1.660843373493976,0.8825301204819277,1.0625301204819277
2026,double-network hydrogel mechanics,MXene-reinforced thermogalvanic gel,gel_microstructure,material_system,20,23,11,13,16,16,11,3.2637578871589024,460,2,0.03192599240827887,1,3,1,1,1,0.9023833212336839,1.7008433734939759,1.800843373493976,0.9560240963855422,1.0560240963855423
2026,solvent-shell water/DES regulation,MXene-reinforced thermogalvanic gel,solvation_entropy,material_system,12,23,5,13,11,16,8,2.3091776936814306,276,2,0.0,1,5,1,1,1,0.9138128131498519,1.5031927710843374,1.6831927710843375,0.8746987951807229,1.054698795180723
2026,double-network hydrogel mechanics,iodide/triiodide redox chemistry,gel_microstructure,redox_chemistry,20,23,11,18,16,14,13,3.664357889688991,460,2,0.0,1,3,1,1,1,0.94166880218078,1.6534337349397592,1.7534337349397593,0.9518072289156626,1.0518072289156626
2026,thermoresponsive micellization p/n conversion,Fe2+/Fe3+ solvation redox chemistry,phase_or_species_transition,redox_chemistry,6,47,2,41,4,31,5,1.3527662024164466,282,2,0.03082611211677366,1,2,1,1,1,0.9241485981528407,1.4786746987951807,1.6586746987951808,0.8668674698795181,1.0468674698795182
