pair_id,iTE_relation,TG_relation,iTE_paper,TG_paper,exact,semantic,relation_constrained,neighborhood,neighborhood_component,role_component,predicate_component,tie
PAIR-69baf72ae28a,MP1-iTE-P0335-01,MP1-TG-P0267-02,P0335,P0267,0,0.7737313508987427,0.5029253780841828,0.40234030246734626,0.0,0.0,0.0,69baf72ae28a89dd04b01caa7b4b84d61d329cada62d64ba7838783c41ba63ab
PAIR-d5f359a973c4,MP1-iTE-P0335-02,MP1-TG-P0003-03,P0335,P0003,0,0.7515309602022171,0.5884951241314411,0.4707960993051529,0.0,0.5,0.0,d5f359a973c460abb12169b3163eab8d951ea7cdea677b7853907c3f572d713d
PAIR-ef722f7a9191,MP1-iTE-P0335-02,MP1-TG-P0003-04,P0335,P0003,0,0.731684073805809,0.7255946479737759,0.5804757183790208,0.0,0.5,1.0,ef722f7a9191498a2b1c05ffbaa635562b5d96baf5794469140f836e85269ee4
PAIR-4b7bf7174c37,MP1-iTE-P0335-02,MP1-TG-P0142-01,P0335,P0142,0,0.7460070550441742,0.48490458577871326,0.3879236686229706,0.0,0.0,0.0,4b7bf7174c37dbbcf6e7433ba13cfb76c2b548ee12f0d5ef55a1a5e9e32f5f4a
PAIR-06ff571000ed,MP1-iTE-P0335-02,MP1-TG-P0142-03,P0335,P0142,0,0.7568216770887375,0.5919340901076794,0.47354727208614356,0.0,0.5,0.0,06ff571000ed4ac9cd5e32b758e43433382d1fcb4007409c7dcf427ebab7cbd5
PAIR-9e0d1f2ec5a2,MP1-iTE-P0335-02,MP1-TG-P0143-01,P0335,P0143,0,0.7357660830020905,0.47824795395135883,0.3825983631610871,0.0,0.0,0.0,9e0d1f2ec5a2f9cf9ff39ed34283e7d1ecad4f2a4ca46d25009c7104679a6741
PAIR-6c3765939730,MP1-iTE-P0335-02,MP1-TG-P0145-01,P0335,P0145,0,0.7300261110067368,0.5745169721543789,0.45961357772350314,0.0,0.5,0.0,6c3765939730b0c92b01f6c48240c19f1a8e33a8f86acd957c27643e61164b88
PAIR-dfc5b2f8e0b2,MP1-iTE-P0335-02,MP1-TG-P0145-03,P0335,P0145,0,0.7673046439886093,0.4987480185925961,0.3989984148740769,0.0,0.0,0.0,dfc5b2f8e0b253788b305f0c273584e3948d744e2b310f27008b9c864b36fb71
PAIR-142131199a6e,MP1-iTE-P0335-02,MP1-TG-P0146-01,P0335,P0146,0,0.9257051795721054,0.9517083667218685,0.8113666933774949,0.25,1.0,1.0,142131199a6e62d9813f970612c366622eeafbd79600e2ec72074b584e4f4d77
PAIR-bf37a3443523,MP1-iTE-P0335-02,MP1-TG-P0146-02,P0335,P0146,0,0.7803387492895126,0.8572201870381834,0.7357761496305468,0.25,1.0,1.0,bf37a34435236ebdcd73077e390a99a5b3b71d965ffce59b8a35b55ea083f22a
