cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,ml_score,graph_score,hybrid_score,material_prediction_score
2026,MXene scaffold,iodide/triiodide electrolyte,14,13,7,11,8,8,5,1.7011520806989524,182,2,3,9,5,14,0.4072197770265291,1.5364754098360653,0.7494145199063232,0.4072197770265291
2026,acetonitrile/nitrile solvent,K-salt electrolyte,5,14,4,8,2,11,3,1.1120967421848964,70,2,0,2,6,12,0.4035713489323518,0.9487119437939109,0.5537470725995317,0.4035713489323518
2026,Cu-based redox electrolyte,metal-oxide electrode,8,8,4,5,6,4,3,1.2022569402486334,64,2,0,10,8,6,0.40326190161297115,0.9313231850117096,0.5422716627634661,0.40326190161297115
2026,polyaniline conductor,porous carbon electrode,9,9,4,9,6,2,4,1.4119702187281526,81,2,16,10,3,8,0.40242134925983375,1.1936182669789228,0.6297423887587822,0.40242134925983375
2026,ethylene-glycol organohydrogel,graphene/graphene-oxide scaffold,8,15,4,7,5,11,6,2.148343577718854,120,2,16,13,6,8,0.395623422846063,1.4860070257611242,0.724824355971897,0.395623422846063
2026,cellulose nanofiber matrix,silica/inorganic nanoparticle filler,18,13,6,6,17,7,9,3.287982509656372,234,2,1,47,8,5,0.3944205451616795,1.8101288056206088,0.8381733021077283,0.3944205451616795
2026,Cu-based redox electrolyte,ethylene-glycol organohydrogel,8,8,4,4,6,5,3,1.0877234158450322,64,2,0,10,8,6,0.39030829397265854,0.9086651053864168,0.532903981264637,0.39030829397265854
2026,Cu-based redox electrolyte,zwitterionic polymer,8,2,4,2,6,1,1,0.318928988903801,16,2,0,10,8,2,0.3886136567061559,0.3185011709601874,0.31592505854800934,0.3886136567061559
2026,PAM/polyacrylamide matrix,PVA polymer matrix,14,23,4,14,11,21,12,4.42435987634118,322,2,1,12,4,23,0.38672757398782964,1.9329039812646371,0.8752927400468384,0.38672757398782964
2026,Cu-based redox electrolyte,silica/inorganic nanoparticle filler,8,13,4,6,6,7,4,1.490153020226877,104,2,0,10,8,5,0.38591800290298206,1.1422131147540981,0.6035128805620609,0.38591800290298206
2026,ethylene-glycol organohydrogel,gelatin matrix,8,15,4,7,5,14,3,0.9762526427478075,120,2,16,13,6,13,0.3841807437143911,1.2326697892271663,0.6361826697892272,0.3841807437143911
2026,Cu-based redox electrolyte,K-salt electrolyte,8,14,4,8,6,11,3,1.17875051755674,112,2,0,10,8,12,0.3831592719583658,1.1126463700234193,0.5866510538641687,0.3831592719583658
2026,TEMPO/viologen organic redox,porous carbon electrode,4,9,1,9,3,2,1,0.33380820069533407,36,2,5,4,1,8,0.3752641342194115,0.5712529274004684,0.3985948477751756,0.3752641342194115
2026,acetonitrile/nitrile solvent,Li-salt electrolyte,5,17,4,6,2,14,3,1.0929488190154693,85,1,0,2,6,9,0.3659515399526318,1.0918032786885248,0.5743559718969555,0.3659515399526318
2026,Cu-based redox electrolyte,cyclodextrin host,8,3,4,2,6,2,1,0.318928988903801,24,2,0,10,8,3,0.36504890002630674,0.3606557377049181,0.3177985948477752,0.36504890002630674
2026,MXene scaffold,graphene/graphene-oxide scaffold,14,15,7,7,8,11,8,2.936106595323814,210,1,3,9,5,8,0.36360458616099295,1.868384074941452,0.8436768149882904,0.36360458616099295
2026,ethylene-glycol organohydrogel,zwitterionic polymer,8,2,4,2,5,1,1,0.318928988903801,16,2,16,13,6,2,0.3620432105761427,0.43653395784543325,0.34508196721311474,0.3620432105761427
2026,Prussian-blue/hexacyanoferrate electrode,K-salt electrolyte,4,14,4,8,1,11,2,0.663138725043781,56,2,0,2,4,12,0.3602600875295162,0.7149297423887588,0.45386416861826695,0.3602600875295162
2026,cyclodextrin host,metal-oxide electrode,3,8,2,5,2,4,1,0.318928988903801,24,2,0,2,3,6,0.358632648510973,0.3606557377049181,0.314519906323185,0.358632648510973
2026,porous carbon electrode,zwitterionic polymer,9,2,9,2,2,1,0,0.0,18,3,0,3,8,2,0.35706865470591853,0.18231850117096016,0.2756440281030445,0.35706865470591853
2026,MXene scaffold,Na-salt electrolyte,14,19,7,9,8,15,9,3.202345575296041,266,2,3,9,5,10,0.35322524678283296,1.8793911007025759,0.8426229508196721,0.35322524678283296
2026,ethylene-glycol organohydrogel,Na-salt electrolyte,8,19,4,9,5,15,6,2.088349384932704,152,2,16,13,6,10,0.3529440948071917,1.5408665105386419,0.7337236533957845,0.3529440948071917
2026,MXene scaffold,silica/inorganic nanoparticle filler,14,13,7,6,8,7,6,2.169911002198936,182,1,3,9,5,5,0.3528290501636796,1.7087822014051524,0.781615925058548,0.3528290501636796
2026,TEMPO/viologen organic redox,acetonitrile/nitrile solvent,4,5,1,4,3,2,2,0.6867643245600952,20,2,5,4,1,6,0.3497737281195086,0.5757611241217798,0.3911007025761124,0.3497737281195086
2026,MXene scaffold,Li-salt electrolyte,14,17,7,6,8,14,9,3.260212445694759,238,2,3,9,5,9,0.3475738483585987,1.8449648711943794,0.8347775175644028,0.3475738483585987
2026,PNIPAM thermoresponsive polymer,metal-oxide electrode,3,8,1,5,2,4,1,0.3396232718951086,24,2,0,2,1,6,0.3468370341775151,0.3938524590163935,0.31943793911007023,0.3468370341775151
