cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,Fe2+/Fe3+ solvation redox chemistry,interactions between,redox_chemistry,material_system,14,4,0,0,14,4,1,0.32351545314867247,56,2,0.007949638080852939,1,0,1,0,0,2,0,,2023-2026,0.2961453690496655,1.2115684140010048,0.7950845754479987
2022,Fe2+/Fe3+ solvation redox chemistry,interactions in,redox_chemistry,material_system,14,5,0,0,14,5,0,0.0,70,3,0.010351994815267492,1,0,1,0,0,3,0,,2023-2026,0.23205117630530994,0.9313445542343549,0.6478953832412214
2022,Fe2+/Fe3+ solvation redox chemistry,inversion of,redox_chemistry,material_system,14,3,0,0,14,3,1,0.4170323914242463,42,2,0.012292878769468876,1,0,1,0,0,2,0,,2023-2026,0.29363046118940056,1.121390889298275,0.76872104058505
2022,Fe2+/Fe3+ solvation redox chemistry,investigations of,redox_chemistry,material_system,14,8,0,0,14,8,0,0.0,112,3,0.028555687322944653,1,0,1,0,0,3,0,,2023-2026,0.3348125132775084,1.1138544632389884,0.806143582872774
2022,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,14,16,0,0,14,16,2,1.1162212531024944,224,2,0.32947193448995576,0,0,1,0,0,2,0,,2023-2026,0.23636702729521775,1.7296293194886394,0.8101685926422151
2022,Fe2+/Fe3+ solvation redox chemistry,ion exchange,redox_chemistry,material_system,14,10,0,0,14,10,1,0.32351545314867247,140,2,0.010466783456263447,1,0,1,0,0,2,0,,2023-2026,0.31832481469784785,1.507080053592363,0.862577457712276
2022,Fe2+/Fe3+ solvation redox chemistry,ion migration,redox_chemistry,transport_mechanism,14,10,0,0,14,10,1,0.31066746727980593,140,2,0.062389312305726786,1,0,1,0,0,2,0,,2023-2026,0.3077354803110783,1.5255052196728631,0.8558421258304025
2022,Fe2+/Fe3+ solvation redox chemistry,ion transport,redox_chemistry,transport_mechanism,14,11,0,0,14,11,1,0.32351545314867247,154,2,0.015972562354955273,1,0,1,0,0,2,0,,2023-2026,0.3348964065038978,1.5389005191760172,0.8826159772232457
2022,Fe2+/Fe3+ solvation redox chemistry,ion-dipole interaction transport,redox_chemistry,transport_mechanism,14,1,0,0,14,1,0,0.0,14,3,0.017051788413665406,1,0,1,0,0,3,0,,2023-2026,0.21403781033200725,0.40922653938480436,0.47082007480600685
2022,Fe2+/Fe3+ solvation redox chemistry,ion-ion interactions,redox_chemistry,material_system,14,6,0,0,14,6,0,0.0,84,3,0.018708166351108415,1,0,1,0,0,3,0,,2023-2026,0.22939840509869006,1.0119787305308994,0.6695388823759281
2022,Fe2+/Fe3+ solvation redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,14,31,0,0,14,31,0,0.0,434,3,0.0013154148153028593,1,0,1,0,0,3,1,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,2023-2026,0.3270909950735267,1.2686749846480212,0.8356221738402279
2022,Fe2+/Fe3+ solvation redox chemistry,ionic-covalent bonding,redox_chemistry,material_system,14,2,0,0,14,2,0,0.0,28,3,0.0016415120201562316,1,0,1,0,0,3,0,,2023-2026,0.19480923898836802,0.5619536091107017,0.48681125439624856
2022,Fe2+/Fe3+ solvation redox chemistry,ionic-electronic conductor,redox_chemistry,material_system,14,9,0,0,14,9,0,0.0,126,3,0.0019158151509508592,1,0,1,0,0,3,0,,2023-2026,0.21325435042334853,1.1092879473008428,0.6784486127393513
2022,Fe2+/Fe3+ solvation redox chemistry,ionic-electronic conductors,redox_chemistry,material_system,14,9,0,0,14,9,0,0.0,126,3,0.001824820461220452,1,0,1,0,0,3,0,,2023-2026,0.21324233519987354,1.1090869759392619,0.6777089264779769
2022,Fe2+/Fe3+ solvation redox chemistry,ionic-liquid gating,redox_chemistry,material_system,14,4,0,0,14,4,0,0.0,56,3,0.00732702991774869,1,0,1,0,0,3,0,,2023-2026,0.23022159804069053,0.8512909618712666,0.6219644950594541
2022,Fe2+/Fe3+ solvation redox chemistry,ionic-radius mismatch,redox_chemistry,material_system,14,5,0,0,14,5,0,0.0,70,3,0.016873798850956172,1,0,1,0,0,3,0,,2023-2026,0.23195017063457884,0.9393554960084854,0.6501172332942555
2022,Fe2+/Fe3+ solvation redox chemistry,ionic/covalent bonding,redox_chemistry,material_system,14,10,0,0,14,10,0,0.0,140,3,0.0016096725521329827,1,0,1,0,0,3,0,,2023-2026,0.2252427185979155,1.1287375090716238,0.698559705242003
