unordered_group_id,endpoint_a_global_concept_id,endpoint_a_label,endpoint_b_global_concept_id,endpoint_b_label,orientation_count,is_mirrored,oriented_mapping_candidate_ids,unordered_path_count,candidate_path_ids,distinct_shared_route_count,shared_global_concept_ids,best_evidence_grade,best_evidence_grade_order,worst_evidence_grade,worst_evidence_grade_order,R2_path_count,R1_path_count,R0_path_count,unclassified_path_count,candidate_group_status,graph_eligible
UG_630aa553ddd5,GC_49990adc781e,energy conversion,GC_a8b118c9c48a,suppressing cation thermodiffusion,1,False,CM_7cae97fe4ba7,1,TC_6994e74b5a3a,1,GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6311d49831da,GC_4a92e5f4fe38,hydrogel,GC_cf542d621742,thermal conductivity,1,False,CM_833d0ac4e697,1,TC_0fb89225181f,1,GC_4b155e3c784d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_631362a8e908,GC_241427714a04,continuous current,GC_4c22980d6e87,mtegs,1,False,CM_c58643f4b84e,1,TC_ffc22bae7d20,1,GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6313de4b3462,GC_c44c08236fb4,ionic seebeck coefficient,GC_e99d770390b4,prepared typical hydrogel,1,False,CM_6313de4b3462,1,TC_db40c74f0916,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_631626dcdc37,GC_48d2da2e9707,distinct zinc salt,GC_4f658119a4d2,k+ ion,1,False,CM_631626dcdc37,1,TC_dac56bafcd60,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_63179de8f840,GC_65d1061f2500,composite electrode,GC_dfe0ef89b0c8,ion thermodiffusion,1,False,CM_5ea41fa686dc,1,TC_65f563930c30,1,GC_1e4633c244ec,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_631fb4480dca,GC_6c76863e5251,copper electrode,GC_a975cc9b2d20,electrode separation,1,False,CM_631fb4480dca,1,TC_b9b9f2b9a0ef,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_63238cdfe387,GC_4a92e5f4fe38,hydrogel,GC_854d252d9a45,thermodiffusion,1,False,CM_8e967af42068,1,TC_d87d89bfdda7,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6324e0c1e2e4,GC_82f863b160b5,thermoelectric property,GC_e10b9a148332,ion diffusion rate,1,False,CM_ec85dab689ef,1,TC_05fb514774d0,1,GC_8ad5b453cc37,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_633196a5298b,GC_1cfa29b05d96,textile electrode,GC_a0f6508eebeb,self healing property,1,False,CM_f25a0f33ba07,1,TC_50e8fd6a8688,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
